"Freq [GHz]","mag(S(Port1,Port1)) []","ang_deg(S(Port1,Port1)) [deg]"
0,1.0000107280452E-3,-0
0.5,5.55111512312578E-2,-90
1,0,-180
1.5,2.51214793389404E-4,180
2,0,-180
2.5,1.25607396694702E-1,-0
3,2.51214793389404E-2,180
3.5,1.66533453693773E-3,-90
4,1.57079632685304E-06,-89.9999100080471
4.5,1.66533453693773E-4,-90
5,0,-180
5.5,5.55111512312578E-5,90
6,0,-180
6.5,1.67640000442909E-6,-41.4729343089405
7,5.55111512312578E-7,90
7.5,5.55111512312578E-7,90
8,3.14159265372547E-06,-89.9998199977677
8.5,7.67543491189731E-8,-90
9,0,-180
9.5,0,-180
10,0,-180
10.5,2.51214793389404E-7,180
11,1.25607396694702E-6,-1.24039068165218E-14
11.5,2.43287802812747E-8,-90
12,4.71238898063665E-9,-89.9997300012331
12.5,1.37327003955667E-9,23.8426360237923
13,1.66533453693773E-8,90
13.5,1.02397157343322E-10,-90
14,0,-180
14.5,1.37327003955667E-9,-23.8426360237924
15,1.11022302462516E-10,-90
15.5,2.85435361563001E-11,-63.8925785979692
16,3.95573049178476E-12,90.0036386572473
16.5,2.12431978877152E-10,90
17,5.55111512312578E-11,90
17.5,7.67543491189732E-12,-90
18,0,-180
18.5,1.27391096866763E-9,9.59924476138863
19,0,-180
19.5,7.67543491189731E-7,90
20,3.73044192533137E-13,90.0385840304941
