Test started 2021-07-22 14:35:05.365000
test_01_find_by_name (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_02_get_properties (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_03_get_primitives (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_04_get_stackup (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_05_get_signal_layers (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_06_component_lists (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_07_vias_creation (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_08_nets_query (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_09_assign_rlc (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_10_add_layer (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_11_add_dielectric (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_12_add_conductor (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_13add_djordievic (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_14_add_debye (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_15_update_layer (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_16_remove_layer (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_17_components (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_18_components_from_net (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_19_resistors (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_20_capacitors (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_21_inductors (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_22_ICs (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_23_IOs (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_24_Others (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_25_Components_by_PartName (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_26_get_through_resistor_list (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_27_get_rats (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_28_get_component_connections (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_29_get_power_tree (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_30_aedt_pinname_pin_position (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_31_get_pins_name_from_net (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_32_delete_single_pin_rlc (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_33_component_rlc (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_34_disable_component (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_35_delete_component (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_36_create_coax_port (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_37_create_siwave_circuit_port (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_38_create_siwave_voltage_source (test_01EDB.TestSequenceFunctionsGenerate) ... ERROR
test_39_create_siwave_current_source (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_40_create_siwave_ac_analsyis (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_41_create_siwave_dc_analsyis (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_42_get_nets_from_pin_list (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_43_mesh_operations (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_44_assign_model (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_45_delete_net (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_46_get_polygons_bounding (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_47_get_polygons_bbylayerandnets (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_48_get_polygons_points (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_49_get_padstack (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_50_set_padstack (test_01EDB.TestSequenceFunctionsGenerate) ... ERROR
test_51_save_edb_as (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_52_parametrize_layout (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_53_import_bom (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_54_create_component_from_pins (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_55_create_cutout (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_56_rvalue (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_57_stackup_limits (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_58_create_polygon (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_59_create_path (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_60_create_outline (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_61_create_edb (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_62_export_to_hfss (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_63_export_to_q3d (test_01EDB.TestSequenceFunctionsGenerate) ... ok
test_64_export_to_maxwell (test_01EDB.TestSequenceFunctionsGenerate) ... 
