Name,Usage,Type,SubType,Material Density,Elastic Modulus,Poisson Ratio,Material CTE,Fatigue Exponent,Fatigue Coefficient,Thermal Conductivity,Tg,Shape Factor,Material Class,Fracture Strength,Created By,Modified By,Notes
3M DP270,POTTING,ELASTIC,ISO,1.15E-09,1337.6,0.44,"8E-5@-40C, 8E-5@49C, 1.8E-4@49.1C, 1.8E-4@200C",-8.60E-02,3.20E-03,0.3,,,POLYMER,,"ANSYS, Inc.",UIA69701 @ 2018-05-25 11:11:29,
AAA,POTTING,ELASTIC,ISO,1.66E-09,"115000@-20C, 115000@20C, 110000@100C, 100000@140C",0.3,9.00E-06,-8.60E-02,3.20E-03,0.3,95,,ALLOY,,"ANSYS, Inc.",VKQT38 @ 2019-07-24 10:19:13,
ALLOY42,LEAD / PAD,ELASTIC,ISO,8.10E-09,145000,0.25,4.50E-06,-7.00E-02,5.00E-03,10.5,,,ALLOY,,"ANSYS, Inc.","ANSYS, Inc.",
ALTEMATED PEBAX 45% FILL,LEAD / PAD / POTTING / DIE,ELASTIC,ISO,1.20E-09,"100@-40C, 13@25C, 13@140C",0.35,"1.25E-4@-40C, 1.25E-4@130C",-8.60E-02,3.20E-03,0.3,,,ALLOY,,"ANSYS, Inc.",UIA69701 @ 2018-06-21 13:15:03,
ALUMINA,PAD,ELASTIC,ISO,3.65E-09,300000,0.21,6.80E-06,-8.60E-02,3.20E-03,35,,,CERAMIC,3.45E+02,"ANSYS, Inc.",VKQT38 @ 2019-02-07 14:56:33,
ALUMINA  (KYOCERA A440),,ELASTIC,ISO,3.65E-09,310000,0.21,7.10E-06,-8.60E-02,3.20E-03,14,,,CERAMIC,3.45E+02,"ANSYS, Inc.","ANSYS, Inc.",
ALUMINA  (KYOCERA A443),,ELASTIC,ISO,3.65E-09,310000,0.21,6.90E-06,-8.60E-02,3.20E-03,18,,,CERAMIC,3.45E+02,"ANSYS, Inc.","ANSYS, Inc.",
ALUMINA (KYOCERA A473),,ELASTIC,ISO,3.65E-09,270000,0.21,6.90E-06,-8.60E-02,3.20E-03,18,,,CERAMIC,3.45E+02,"ANSYS, Inc.","ANSYS, Inc.",
ALUMINA (KYOCERA AO610W),,ELASTIC,ISO,3.65E-09,281000,0.21,6.90E-06,-8.60E-02,3.20E-03,17,,,CERAMIC,3.45E+02,"ANSYS, Inc.","ANSYS, Inc.",
ALUMINA (KYOCERA AO630),,ELASTIC,ISO,3.65E-09,275000,0.21,7.00E-06,-8.60E-02,3.20E-03,16,,,CERAMIC,3.45E+02,"ANSYS, Inc.","ANSYS, Inc.",
