Ref Des,Manufacturer,Part Number,Part Type,Part Description,Activation Energy (Ea),Applied Current (A),Applied Duty Cycle (%),Applied Freq (MHz),Applied Power (W),Applied Ripple (mA),Applied Voltage (V),Ball Chan Width,Ball Count,Ball Diameter,Ball Height,Ball Island Cols,Ball Island Rows,Ball Material,Ball Modeling,Ball Package Diameter,Ball Pad Diameter,Ball Pattern,Ball Perimeter Cols,Ball Perimeter Rows,Ball Pitch,Ball Units,Board Side,Capacitance (uF),Confidence Bounds (%),Corner Face,Corner Radius,Corner Shape,Cycle Rate (cycle/hr),Die Length,Die Material,Die Thickness,Die Units,Die Width,Documents,ESD Susceptibility (V),Electrical Derating (0-1),FITs (per 1E6 hours),Failure Class,Failure Mechanism,Flag Length,Flag Thickness,Flag Units,Flag Width,Frequency Exponent,Initial Burn-in (hrs),Input Data Type,Junction Res (C/W),Laminate Thickness,Lead Bend (degrees),Lead Count,Lead Foot Length,Lead Geometry,Lead Height,Lead Hole Diameter,Lead Layout,Lead Long Count,Lead Material,Lead Pitch,Lead Short Count,Lead Shoulder,Lead Standoff,Lead Stiffness,Lead Thickness,Lead Units,Lead Width,Lifetime,Load Type,Location Units,Material,Max Rated Current (A),Max Rated Power (W),Max Rated Temp (C),Max Rated Voltage (V),Max Storage Temp (C),Min Rated Temp (C),Min Storage Temp (C),Mirrored,Model Leads,Model Part,Number of Bits,Number of Contacts,Number of Devices,Number of Elements,Number of Failures,Number of Gates,Number of Throws,Number of Trans,Overmold Material,Overmold Thickness,Package Length,Package Mount,Package Name,Package Thickness,Package Units,Package Width,Pad Length,Pad Pitch,Pad Units,Pad Width,Part Technology,Part Temp Rise,Process Node,Production Year,Production Years,Quality Class,Quality Factor,Rated Ripple (mA),Reliability Data Source,Reliability Metric,Reliability Metric Units,Resistance (ohm),Ripple Temp Rise,Rotation,Seal Type,Sink Length,Sink Thickness,Sink Width,Solder Material,Solder Model,Solder Thickness,Source of AF,Stencil Thickness,Stencil Units,Subcircuit Name(s),Technology,Test Duration (hrs),Test Duty Cycle (%),Test Frequency (MHz),Test Method,Test Temperature (C),Test Voltage (V),Thermal Units,Voltage Exponent,Weight (gram),X Coordinate,X Offset,Y Coordinate,Y Offset
C1,DFR SOLUTIONS,TMC1CBTTE106M,CAPACITOR,"CAP,TANT,10U,20%,16V,B ROHS 3528",,,,0.0,,,,,,,,,,,DISABLED,,,,,,,MM,top,10.0,,TOP_BOTTOM,0.0,SQUARE,0,0.0,SILICON,0.185,MM,0.0,,500,0.5,,"CAP, PAPER & PLASTIC FILM",,,,MM,,,0,,15.0,71.46,0.0,2,0.8,C_LEAD,0.725,2.403837562,DUAL_SHORT,0,COPPER,2.54,0,1.4,0.15,358.31,0.13,MM,2.2,,,in,TANTALUM,0.0,0.1,85.0,16.0,85.0,0.0,-55.0,N,DISABLED,ENABLED,,,0,1,0,,,,,17.13,3.24,SMT,C-BEND-3528-12,1.15,MM,2.8,2.0,1.27,MM,0.75,,DEFAULT,350NM PLANAR,,0,QUALIFIED,,,,,,0.0,,0,,1,0.13,3.24,DEFAULT,LEADED MODEL,0.0635,,0.127,MM,,,0,,,BLACK BOX,,,C,,0.1742,-2.7,0,-1.65,0
C2,DFR SOLUTIONS,TMC1CBTTE106M,CAPACITOR,"CAP,TANT,10U,20%,16V,B ROHS 3528",,,,0.0,,,,,,,,,,,DISABLED,,,,,,,MM,top,10.0,,TOP_BOTTOM,0.0,SQUARE,0,0.0,SILICON,0.185,MM,0.0,,500,0.5,,"CAP, PAPER & PLASTIC FILM",,,,MM,,,0,,15.0,71.46,0.0,2,0.8,C_LEAD,0.725,2.403837562,DUAL_SHORT,0,COPPER,2.54,0,1.4,0.15,358.31,0.13,MM,2.2,,,in,TANTALUM,0.0,0.1,85.0,16.0,85.0,0.0,-55.0,N,DISABLED,ENABLED,,,0,1,0,,,,,17.13,3.24,SMT,C-BEND-3528-12,1.15,MM,2.8,2.0,1.27,MM,0.75,,DEFAULT,350NM PLANAR,,0,QUALIFIED,,,,,,0.0,,0,,1,0.13,3.24,DEFAULT,LEADED MODEL,0.0635,,0.127,MM,,,0,,,BLACK BOX,,,C,,0.1742,-2.4,0,-1.65,0
C3,DFR SOLUTIONS,TMC1CBTTE106M,CAPACITOR,"CAP,TANT,10U,20%,16V,B ROHS 3528",,,,0.0,,,,,,,,,,,DISABLED,,,,,,,MM,top,10.0,,TOP_BOTTOM,0.0,SQUARE,0,0.0,SILICON,0.185,MM,0.0,,500,0.5,,"CAP, PAPER & PLASTIC FILM",,,,MM,,,0,,15.0,71.46,0.0,2,0.8,C_LEAD,0.725,2.403837562,DUAL_SHORT,0,COPPER,2.54,0,1.4,0.15,358.31,0.13,MM,2.2,,,in,TANTALUM,0.0,0.1,85.0,16.0,85.0,0.0,-55.0,N,DISABLED,ENABLED,,,0,1,0,,,,,17.13,3.24,SMT,C-BEND-3528-12,1.15,MM,2.8,2.0,1.27,MM,0.75,,DEFAULT,350NM PLANAR,,0,QUALIFIED,,,,,,0.0,,180,,1,0.13,3.24,DEFAULT,LEADED MODEL,0.0635,,0.127,MM,,,0,,,BLACK BOX,,,C,,0.1742,-2.4,0,-1.9,0
C4,DFR SOLUTIONS,TMC1CBTTE106M,CAPACITOR,"CAP,TANT,10U,20%,16V,B ROHS 3528",,,,0.0,,,,,,,,,,,DISABLED,,,,,,,MM,top,10.0,,TOP_BOTTOM,0.0,SQUARE,0,0.0,SILICON,0.185,MM,0.0,,500,0.5,,"CAP, PAPER & PLASTIC FILM",,,,MM,,,0,,15.0,71.46,0.0,2,0.8,C_LEAD,0.725,2.403837562,DUAL_SHORT,0,COPPER,2.54,0,1.4,0.15,358.31,0.13,MM,2.2,,,in,TANTALUM,0.0,0.1,85.0,16.0,85.0,0.0,-55.0,N,DISABLED,ENABLED,,,0,1,0,,,,,17.13,3.24,SMT,C-BEND-3528-12,1.15,MM,2.8,2.0,1.27,MM,0.75,,DEFAULT,350NM PLANAR,,0,QUALIFIED,,,,,,0.0,,180,,1,0.13,3.24,DEFAULT,LEADED MODEL,0.0635,,0.127,MM,,,0,,,BLACK BOX,,,C,,0.1742,-2.7,0,-1.9,0
C5,DFR SOLUTIONS,TMC1CBTTE106M,CAPACITOR,"CAP,TANT,10U,20%,16V,B ROHS 3528",,,,0.0,,,,,,,,,,,DISABLED,,,,,,,MM,top,10.0,,TOP_BOTTOM,0.0,SQUARE,0,0.0,SILICON,0.185,MM,0.0,,500,0.5,,"CAP, PAPER & PLASTIC FILM",,,,MM,,,0,,15.0,71.46,0.0,2,0.8,C_LEAD,0.725,2.403837562,DUAL_SHORT,0,COPPER,2.54,0,1.4,0.15,358.31,0.13,MM,2.2,,,in,TANTALUM,0.0,0.1,85.0,16.0,85.0,0.0,-55.0,N,DISABLED,ENABLED,,,0,1,0,,,,,17.13,3.24,SMT,C-BEND-3528-12,1.15,MM,2.8,2.0,1.27,MM,0.75,,DEFAULT,350NM PLANAR,,0,QUALIFIED,,,,,,0.0,,180,,1,0.13,3.24,DEFAULT,LEADED MODEL,0.0635,,0.127,MM,,,0,,,BLACK BOX,,,C,,0.1742,-3.0,0,-1.9,0
C6,DFR SOLUTIONS,TMC1CBTTE106M,CAPACITOR,"CAP,TANT,10U,20%,16V,B ROHS 3528",,,,0.0,,,,,,,,,,,DISABLED,,,,,,,MM,top,10.0,,TOP_BOTTOM,0.0,SQUARE,0,0.0,SILICON,0.185,MM,0.0,,500,0.5,,"CAP, PAPER & PLASTIC FILM",,,,MM,,,0,,15.0,71.46,0.0,2,0.8,C_LEAD,0.725,2.403837562,DUAL_SHORT,0,COPPER,2.54,0,1.4,0.15,358.31,0.13,MM,2.2,,,in,TANTALUM,0.0,0.1,85.0,16.0,85.0,0.0,-55.0,N,DISABLED,ENABLED,,,0,1,0,,,,,17.13,3.24,SMT,C-BEND-3528-12,1.15,MM,2.8,2.0,1.27,MM,0.75,,DEFAULT,350NM PLANAR,,0,QUALIFIED,,,,,,0.0,,0,,1,0.13,3.24,DEFAULT,LEADED MODEL,0.0635,,0.127,MM,,,0,,,BLACK BOX,,,C,,0.1742,2.35,0,1.65,0
C7,DFR SOLUTIONS,TMC1CBTTE106M,CAPACITOR,"CAP,TANT,10U,20%,16V,B ROHS 3528",,,,0.0,,,,,,,,,,,DISABLED,,,,,,,MM,top,10.0,,TOP_BOTTOM,0.0,SQUARE,0,0.0,SILICON,0.185,MM,0.0,,500,0.5,,"CAP, PAPER & PLASTIC FILM",,,,MM,,,0,,15.0,71.46,0.0,2,0.8,C_LEAD,0.725,2.403837562,DUAL_SHORT,0,COPPER,2.54,0,1.4,0.15,358.31,0.13,MM,2.2,,,in,TANTALUM,0.0,0.1,85.0,16.0,85.0,0.0,-55.0,N,DISABLED,ENABLED,,,0,1,0,,,,,17.13,3.24,SMT,C-BEND-3528-12,1.15,MM,2.8,2.0,1.27,MM,0.75,,DEFAULT,350NM PLANAR,,0,QUALIFIED,,,,,,0.0,,0,,1,0.13,3.24,DEFAULT,LEADED MODEL,0.0635,,0.127,MM,,,0,,,BLACK BOX,,,C,,0.1742,2.65,0,1.65,0
C8,DFR SOLUTIONS,TMC1CBTTE106M,CAPACITOR,"CAP,TANT,10U,20%,16V,B ROHS 3528",,,,0.0,,,,,,,,,,,DISABLED,,,,,,,MM,top,10.0,,TOP_BOTTOM,0.0,SQUARE,0,0.0,SILICON,0.185,MM,0.0,,500,0.5,,"CAP, PAPER & PLASTIC FILM",,,,MM,,,0,,15.0,71.46,0.0,2,0.8,C_LEAD,0.725,2.403837562,DUAL_SHORT,0,COPPER,2.54,0,1.4,0.15,358.31,0.13,MM,2.2,,,in,TANTALUM,0.0,0.1,85.0,16.0,85.0,0.0,-55.0,N,DISABLED,ENABLED,,,0,1,0,,,,,17.13,3.24,SMT,C-BEND-3528-12,1.15,MM,2.8,2.0,1.27,MM,0.75,,DEFAULT,350NM PLANAR,,0,QUALIFIED,,,,,,0.0,,180,,1,0.13,3.24,DEFAULT,LEADED MODEL,0.0635,,0.127,MM,,,0,,,BLACK BOX,,,C,,0.1742,2.95,0,1.9,0
C9,DFR SOLUTIONS,TMC1CBTTE106M,CAPACITOR,"CAP,TANT,10U,20%,16V,B ROHS 3528",,,,0.0,,,,,,,,,,,DISABLED,,,,,,,MM,top,10.0,,TOP_BOTTOM,0.0,SQUARE,0,0.0,SILICON,0.185,MM,0.0,,500,0.5,,"CAP, PAPER & PLASTIC FILM",,,,MM,,,0,,15.0,71.46,0.0,2,0.8,C_LEAD,0.725,2.403837562,DUAL_SHORT,0,COPPER,2.54,0,1.4,0.15,358.31,0.13,MM,2.2,,,in,TANTALUM,0.0,0.1,85.0,16.0,85.0,0.0,-55.0,N,DISABLED,ENABLED,,,0,1,0,,,,,17.13,3.24,SMT,C-BEND-3528-12,1.15,MM,2.8,2.0,1.27,MM,0.75,,DEFAULT,350NM PLANAR,,0,QUALIFIED,,,,,,0.0,,180,,1,0.13,3.24,DEFAULT,LEADED MODEL,0.0635,,0.127,MM,,,0,,,BLACK BOX,,,C,,0.1742,2.65,0,1.9,0
C10,DFR SOLUTIONS,TMC1CBTTE106M,CAPACITOR,"CAP,TANT,10U,20%,16V,B ROHS 3528",,,,0.0,,,,,,,,,,,DISABLED,,,,,,,MM,top,10.0,,TOP_BOTTOM,0.0,SQUARE,0,0.0,SILICON,0.185,MM,0.0,,500,0.5,,"CAP, PAPER & PLASTIC FILM",,,,MM,,,0,,15.0,71.46,0.0,2,0.8,C_LEAD,0.725,2.403837562,DUAL_SHORT,0,COPPER,2.54,0,1.4,0.15,358.31,0.13,MM,2.2,,,in,TANTALUM,0.0,0.1,85.0,16.0,85.0,0.0,-55.0,N,DISABLED,ENABLED,,,0,1,0,,,,,17.13,3.24,SMT,C-BEND-3528-12,1.15,MM,2.8,2.0,1.27,MM,0.75,,DEFAULT,350NM PLANAR,,0,QUALIFIED,,,,,,0.0,,180,,1,0.13,3.24,DEFAULT,LEADED MODEL,0.0635,,0.127,MM,,,0,,,BLACK BOX,,,C,,0.1742,2.35,0,1.9,0
