Notes:,,,"If Mablab_keyword is empty, it means same as SPISim_Keyword or replace '_' wich space (Matlab is case sensitive)"
Category_Tab,SPISim_Keyword (cfg file),Matlab_Keyword (excel file),Comments
OP_IO_CTRL,BESSEL_THOMSON,,enable Bessel Thomsen filter for COM
,BUTTERWORTH,Butterworth,"enable Butterworth filter for TDR, PTDR, and ERL"
,CDR,,"CDR method, default is 'MM' (Mueller-Muller)"
,COM_PASS_THRESHOLD,COM Pass threshold,the pass fail threshold for COM in dB
,EC_DIFF_TOL,Enforce Causality DIFF_TOL,"Difference Tolerance parameter for causality, Hard enforcement, 1e-4,Soft enforcement, 1e-3"
,EC_PULSE_TOL,Enforce Causality pulse start tolerance,"Tolerance parameter for causality, Hard enforcement, 0.05, Soft enforcement, .01"
,EC_REL_TOL,Enforce Causality REL_TOL,"Difference Tolerance parameter for causality, Hard enforcement, 1e-4,Soft enforcement, 1e-3"
,EH_MAX,,used when PMD_type is C2M and is not really computed per spec
,EH_MIN,,used when PMD_type is C2M
,ENFORCE_CAUSALITY,,default is 0. Not recommended to use
,ERL_PASS_THRESHOLD,ERL Pass threshold,the pass fail threshold for ERL in dB
,ERR_PROPAGATION_COM_MARGIN,Error propagation COM margin,Use to calculate  error propogation (not normally used)
,FORCE_PDF_BIN_SIZE,Force PDF bin size,do not use
,HISTOGRAM_WINDOW_WEIGHT,Histogram_Window_Weight,"Weighting for VEC and VEO are histogram processing. Type are Gaussian,Dual Rayleigh,Triangle, and Rectangle (default)"
,IMPRSP_TRUNC_THRESHOLD,Impulse response truncatio threshold,Impulse response truncatio threshold
,INCLUDE_PCB,Include PCB,Used to add a PCB one each side of the passed s-parameters.
,MAX_BURST_LEN,nburst,Use to calculate burst error rate (not normally used)
,MIN_VEO_TEST,Min_VEO_Test,used when PMD_type is C2M. This allow EH to go blow EH_min. If set to Zero it is ignored
,N_V,N_v,number of UI used to compute Vf
,OPTIMIZE_LOOP_SPEED_UP,Optimize_loop_speed_up,"If set to 0 (or default) normal looping, If set to 1 loop speedup by slightly reducing PD Fbin and FIR_threshold for optimize looping only"
,PDF_BIN_SIZE,Force PDF bin size,do not use
